"obsize_mb","dep_var","violence_var","int","n","BIC","AIC","country_rounds","country_rounds_list"
26.31356,"ethnic_id","expo_5yr_25km_bin","EOSV_state",20914,19925.902769069,19758.9911135957,13,"MLI/6;LBR/4;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2;BDI/5"
72.89796,"ethnic_id","expo_5yr_25km_bin","no_int",52541,42484.487364768,42147.4520991133,32,"MLI/6;LBR/4;GIN/6;GIN/5;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;NGA/2;ZAF/3;ZWE/2;ZWE/6;ZWE/4;ZWE/5;BDI/5;UGA/2;TZA/3;TZA/2;UGA/5;KEN/6;KEN/2;KEN/5;KEN/3;KEN/4;MDG/6;MDG/5"
10.395328,"ethnic_id","expo_reb_5yr_25km_bin","EOSV_rebel",9192,5569.94033824315,5470.17509476975,6,"LBR/4;CIV/5;BDI/5;KEN/6;KEN/5;KEN/4"
12.596416,"ethnic_id","expo_reb_5yr_25km_bin","no_int",9895,5995.46202547956,5901.86482232508,7,"DZA/6;LBR/4;CIV/5;BDI/5;KEN/6;KEN/5;KEN/4"
42.59004,"ethnic_fairtreat","expo_25km_bin","EOSV_state",31308,29055.9433368688,28797.0428398861,23,"MLI/6;MLI/3;MLI/4;MLI/2;LBR/6;LBR/4;LBR/5;MLI/5;SEN/4;SEN/3;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NER/5;NER/6;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2;BDI/5"
153.791912,"ethnic_fairtreat","expo_25km_bin","no_int",91655,90758.2369283678,90107.8576386742,63,"MLI/6;MLI/3;MLI/4;MLI/2;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;MLI/5;SLE/6;SLE/5;SEN/4;SEN/3;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;TGO/6;TGO/5;NER/5;NER/6;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;NGA/2;CMR/5;NAM/6;NAM/2;NAM/3;NAM/5;NAM/4;ZAF/5;ZAF/4;ZAF/6;ZAF/3;ZAF/2;ZWE/2;ZWE/6;ZWE/4;ZWE/5;BDI/5;UGA/6;UGA/2;TZA/6;TZA/3;TZA/5;TZA/2;UGA/3;TZA/4;UGA/5;UGA/4;SWZ/6;KEN/6;KEN/2;KEN/5;KEN/3;KEN/4;MDG/6;MDG/5"
35.205528,"ethnic_fairtreat","expo_reb_25km_bin","EOSV_rebel",28148,27386.7933410325,27164.1720882892,19,"MLI/6;MLI/3;MLI/4;LBR/6;LBR/4;LBR/5;SLE/6;SLE/5;CIV/6;CIV/5;NGA/6;ZAF/5;ZAF/4;ZAF/6;ZAF/3;BDI/5;KEN/6;KEN/5;KEN/4"
116.735312,"ethnic_fairtreat","expo_reb_25km_bin","no_int",74691,75176.2769425215,74641.4522793693,52,"MLI/6;MLI/3;MLI/4;DZA/6;MAR/6;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;SLE/6;SLE/5;SEN/4;SEN/3;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;CMR/6;NGA/5;NGA/3;NAM/6;NAM/2;NAM/3;NAM/5;NAM/4;ZAF/5;ZAF/4;ZAF/6;ZAF/3;ZAF/2;ZMB/3;ZMB/2;ZWE/2;ZWE/6;ZWE/4;BDI/5;UGA/6;UGA/2;UGA/3;UGA/5;UGA/4;MOZ/5;MOZ/4;MOZ/6;MOZ/2;MOZ/3;KEN/6;KEN/5;KEN/4"
43.503784,"ethnic_id","expo_25km_bin","EOSV_state",32676,29890.0807356183,29629.854455202,23,"MLI/6;MLI/3;MLI/4;MLI/2;LBR/6;LBR/4;LBR/5;MLI/5;SEN/4;SEN/3;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NER/5;NER/6;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2;BDI/5"
159.443016,"ethnic_id","expo_25km_bin","no_int",97493,76121.1941438004,75466.5541694923,63,"MLI/6;MLI/3;MLI/4;MLI/2;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;MLI/5;SLE/6;SLE/5;SEN/4;SEN/3;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;TGO/6;TGO/5;NER/5;NER/6;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;NGA/2;CMR/5;NAM/6;NAM/2;NAM/3;NAM/5;NAM/4;ZAF/5;ZAF/4;ZAF/6;ZAF/3;ZAF/2;ZWE/2;ZWE/6;ZWE/4;ZWE/5;BDI/5;UGA/6;UGA/2;TZA/6;TZA/3;TZA/5;TZA/2;UGA/3;TZA/4;UGA/5;UGA/4;SWZ/6;KEN/6;KEN/2;KEN/5;KEN/3;KEN/4;MDG/6;MDG/5"
